,mold_code,feature,lower_bound,upper_bound
0,8722,molten_temp,0.0,731.0
1,8722,facility_operation_cycleTime,76.0,196.9200000000003
2,8722,production_cycletime,0.0,166.19000000000023
3,8722,low_section_speed,0.0,110.0
4,8722,high_section_speed,6.429999999999996,291.74000000000035
5,8722,cast_pressure,139.09,326.0
6,8722,biscuit_thickness,26.18,66.0
7,8722,upper_mold_temp1,46.72,237.91000000000003
8,8722,upper_mold_temp2,26.63,186.0
9,8722,upper_mold_temp3,1449.0,1449.0
10,8722,lower_mold_temp1,29.09,251.91000000000003
11,8722,lower_mold_temp2,43.45,263.6400000000001
12,8722,lower_mold_temp3,645.0,1449.0
13,8722,sleeve_temperature,84.45,639.6400000000001
14,8722,physical_strength,644.0,711.9100000000001
15,8722,Coolant_temperature,18.0,34.0
16,8573,molten_temp,0.0,734.0
17,8573,facility_operation_cycleTime,86.0,222.0
18,8573,production_cycletime,77.61,253.469999999999
19,8573,low_section_speed,36.55,125.59999999999945
20,8573,high_section_speed,111.0,183.1599999999994
21,8573,cast_pressure,139.0,331.39
22,8573,biscuit_thickness,36.61,57.0
23,8573,upper_mold_temp1,35.0,256.78
24,8573,upper_mold_temp2,44.879999999999995,176.28999999999985
25,8573,upper_mold_temp3,53.83,1449.0
26,8573,lower_mold_temp1,78.61,201.55999999999995
27,8573,lower_mold_temp2,26.0,197.50999999999988
28,8573,lower_mold_temp3,1449.0,1449.0
29,8573,sleeve_temperature,255.22,576.39
30,8573,physical_strength,684.0,723.17
31,8573,Coolant_temperature,22.61,34.0
32,8412,molten_temp,707.69,733.0
33,8412,facility_operation_cycleTime,109.85,214.0
34,8412,production_cycletime,74.65,251.35000000000048
35,8412,low_section_speed,3.0,150.0
36,8412,high_section_speed,101.0,217.7500000000001
37,8412,cast_pressure,140.65,333.0
38,8412,biscuit_thickness,26.25,57.0
39,8412,upper_mold_temp1,25.3,249.45000000000016
40,8412,upper_mold_temp2,51.85,165.35000000000002
41,8412,upper_mold_temp3,1449.0,1449.0
42,8412,lower_mold_temp1,26.95,164.35000000000002
43,8412,lower_mold_temp2,25.0,257.7000000000005
44,8412,lower_mold_temp3,1449.0,1449.0
45,8412,sleeve_temperature,34.0,554.8000000000002
46,8412,physical_strength,667.3,733.0
47,8412,Coolant_temperature,17.65,38.0
48,8917,molten_temp,706.79,733.0
49,8917,facility_operation_cycleTime,70.0,208.0
50,8917,production_cycletime,73.47000000000001,202.20999999999998
51,8917,low_section_speed,0.0,111.0
52,8917,high_section_speed,8.93,163.76999999999992
53,8917,cast_pressure,139.0,331.0
54,8917,biscuit_thickness,30.0,60.0
55,8917,upper_mold_temp1,20.0,219.76999999999992
56,8917,upper_mold_temp2,21.0,189.0
57,8917,upper_mold_temp3,1449.0,1449.0
58,8917,lower_mold_temp1,29.93,183.48999999999995
59,8917,lower_mold_temp2,43.86,225.23999999999978
60,8917,lower_mold_temp3,1449.0,1449.0
61,8917,sleeve_temperature,63.79,507.0
62,8917,physical_strength,674.93,715.0
63,8917,Coolant_temperature,16.0,34.0
64,8600,molten_temp,0.0,714.0
65,8600,facility_operation_cycleTime,93.42,181.24
66,8600,production_cycletime,80.0,188.58
67,8600,low_section_speed,36.54,115.0
68,8600,high_section_speed,112.0,339.68
69,8600,cast_pressure,145.0,326.0
70,8600,biscuit_thickness,25.44,56.56
71,8600,upper_mold_temp1,26.22,307.68
72,8600,upper_mold_temp2,37.3,196.78
73,8600,upper_mold_temp3,1449.0,1449.0
74,8600,lower_mold_temp1,31.0,269.78
75,8600,lower_mold_temp2,41.88,220.0
76,8600,lower_mold_temp3,1449.0,1449.0
77,8600,sleeve_temperature,384.54,511.0
78,8600,physical_strength,679.22,703.78
79,8600,Coolant_temperature,19.0,35.0
